[header]
width=128
height=88
tilewidth=32
tileheight=32
music=ambientmain.ogg
tileset=master.txt
title=Lowlands Labor Camp

[tilesets]
tileset=../../../tiled/masters/tiled_collision.png,32,32,0,0
tileset=../../../tiled/masters/32.png,32,32,0,0
tileset=../../../tiled/masters/64.png,32,64,0,0
tileset=../../../tiled/masters/96.png,32,96,0,0
tileset=../../../tiled/masters/128.png,32,128,0,0

[layer]
type=background
data=
293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,
293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,
293,293,293,293,293,293,293,293,293,293,293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,
293,293,293,293,293,293,293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,
293,293,293,293,293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,
293,293,293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,
293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,
293,293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,
293,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,
308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,308,308,308,308,308,308,308,308,308,134,134,134,134,134,
